"Gene.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.Name"
"Os03g0356400",260.286589486714,-3.78918594289044,0.430191726235534,-8.80813300629549,1.27247397525742e-18,1.47517684710545e-17,"OsGRL6"
"Os05g0434800",66.3496382630537,4.24666366109234,0.482199323062949,8.80686358935007,1.28696153056635e-18,1.49122476347387e-17,""
"Os05g0381700",1107.00887293854,2.97733216046206,0.338111063431226,8.80578153890452,1.29943923374576e-18,1.50492892328853e-17,""
"Os12g0283400",274.339971625876,8.93852016763132,1.01528141614136,8.80398284211949,1.32044585818026e-18,1.52849208248214e-17,""
"Os02g0588500",2686.02513705842,2.2405679083837,0.254577665156592,8.80111736041538,1.35460597592881e-18,1.56724997555186e-17,""
"Os10g0132800",136.500418279121,3.75085096914002,0.426366528164523,8.79724537779072,1.40215486193416e-18,1.62145188234066e-17,""
"Os04g0447100",3796.07977419529,3.50065512678665,0.397929126476164,8.79718244750386,1.40294111725654e-18,1.62155033282905e-17,"SPH"
"Os04g0390500",10830.6185483175,-2.89989440404699,0.329657231263661,-8.79669586779865,1.40903519383236e-18,1.62778051763011e-17,"OsYSL6"
"Os01g0833200",3339.39414959288,-2.98753562263662,0.339709184053079,-8.79439168229793,1.43825039952189e-18,1.66070170944295e-17,""
"Os09g0397400",1700.09013259802,-2.00397042609147,0.227914721379063,-8.7926326740365,1.46095510311746e-18,1.68607632858785e-17,"OsTBL36"
"Os03g0232400",250.152513100531,12.0034051573054,1.36522525197853,8.79225251650574,1.46590837243936e-18,1.69094906921584e-17,""
"Os05g0587300",200.438213723115,4.56568124355745,0.519442472018789,8.78958015468613,1.5011991145941e-18,1.73079427329672e-17,""
"Os07g0575100",3140.22355004762,1.93739792537824,0.220446153879686,8.78853130926303,1.5152781022458e-18,1.74615605125764e-17,""
"Os08g0514000",163.076640748919,2.67034126818108,0.303975850370308,8.78471518355169,1.56761220504387e-18,1.80556449592901e-17,""
"Os07g0185500",1833.20129662605,-3.09266336056888,0.35206073848821,-8.78445967547854,1.57117929848725e-18,1.80877226557557e-17,""
"Os01g0698800",83.0579398514979,7.57870929131324,0.862764703110938,8.7842134292074,1.57462467447842e-18,1.81183678961876e-17,""
"Os01g0335700",623.307323593168,-2.20224647715115,0.250787049211537,-8.78134052007434,1.61537671706106e-18,1.85780371517594e-17,""
"Os04g0631100",72.1997470097222,5.87567328048155,0.669211524480591,8.77999416558457,1.63483138694511e-18,1.87924355453611e-17,""
"Os11g0582000",254.048875795614,6.62479089777056,0.75459050375517,8.77931920002004,1.64467145302647e-18,1.8896155670937e-17,""
"Os01g0164300",3787.94046889883,-2.92693595205277,0.333465449879435,-8.77732896499777,1.6740280931167e-18,1.9223893613507e-17,""
"Os09g0128400",331.273194120578,4.0228588113155,0.458342641838268,8.77696824188357,1.67940400019447e-18,1.92664958911198e-17,""
"Os09g0483100",308.848141166306,6.15320529478205,0.701058785862144,8.777017589495,1.67866756048479e-18,1.92664958911198e-17,""
"Os10g0459300",161.339183509741,-4.40420624342487,0.501906513602083,-8.77495335100706,1.70974725567571e-18,1.96048758201625e-17,""
"Os04g0579200",164.980355500311,4.87367215522896,0.555580594352242,8.77221451715971,1.75186245774683e-18,2.00778369290232e-17,""
"Os07g0517100",91.2378146153263,-4.68597410922997,0.534306590267765,-8.77019710140878,1.78353800125593e-18,2.04307414031933e-17,""
"Os08g0412200",592.48787809073,2.18201413920152,0.248834268598548,8.7689454973014,1.80347307944389e-18,2.06488739511773e-17,""
"Os08g0159900",1237.5228736301,2.55518275808001,0.29140849283793,8.76838809053208,1.81242190779108e-18,2.07410657513073e-17,"PRP5"
"Os05g0584400",161.61823208159,9.05847352747939,1.03341412770981,8.76557933996342,1.85818616025385e-18,2.12542678112517e-17,""
"Os10g0113100",28688.1910184842,-4.09516234992234,0.467373547107473,-8.76207559299596,1.91687655747403e-18,2.19147409892533e-17,""
"Os01g0763600",3546.53600165777,-2.89229484918715,0.330124958252887,-8.76121231334335,1.93161595038715e-18,2.20723387848587e-17,""
"Os05g0592100",337.94330733137,-2.72222627577275,0.310794420217098,-8.75892904985619,1.97114134525908e-18,2.25128676706923e-17,"OsClp8"
"Os08g0293200",315.911345285773,-8.74963884604677,0.999329289788547,-8.75551125685323,2.03180348495232e-18,2.31942502467804e-17,""
